Game result;Winner score;Loser score;Runtime;Rounds played;White player heuristic;Black player heuristic;White player depth;Black player depth
Black pieces win;23;41;109.081;60;coin_parity;mobility;3;3
White pieces win;44;20;111.339;60;coin_parity;mobility;2;3
White pieces win;49;15;113.795;60;stability;stability;2;3
White pieces win;50;14;117.687;60;mobility;stability;2;3
White pieces win;50;14;118.925;60;mobility;stability;1;3
Black pieces win;31;33;120.141;60;coin_parity;corners;3;3
White pieces win;37;26;121.355;59;stability;stability;3;1
White pieces win;45;19;129.123;60;mobility;coin_parity;3;1
White pieces win;50;14;129.908;60;stability;corners;3;1
Black pieces win;22;42;132.824;60;corners;corners;3;3
White pieces win;37;27;140.553;60;stability;coin_parity;3;1
Black pieces win;20;44;141.526;60;mobility;corners;3;2
Black pieces win;22;42;143.753;60;mobility;stability;3;2
White pieces win;35;29;144.398;60;corners;stability;3;3
White pieces win;36;28;160.698;60;mobility;coin_parity;3;3
White pieces win;43;21;162.403;60;corners;mobility;2;3
Black pieces win;21;43;163.863;60;coin_parity;stability;3;3
Black pieces win;22;42;175.239;60;corners;coin_parity;3;3
Black pieces win;27;37;180.574;60;coin_parity;coin_parity;3;3
Black pieces win;16;48;184.157;60;corners;mobility;3;3
White pieces win;37;27;198.648;60;stability;mobility;3;1
White pieces win;39;25;200.098;60;mobility;mobility;2;3
White pieces win;39;25;201.704;60;mobility;mobility;1;3
White pieces win;50;14;207.739;60;mobility;stability;3;3
White pieces win;43;21;209.376;60;stability;corners;3;3
Black pieces win;31;33;212.469;60;corners;mobility;1;3
White pieces win;37;27;217.258;60;stability;mobility;3;2
White pieces win;39;25;217.338;60;mobility;mobility;3;1
Black pieces win;22;42;217.769;60;corners;stability;1;3
White pieces win;44;20;227.449;60;stability;stability;3;2
White pieces win;39;25;237.854;60;mobility;mobility;3;2
White pieces win;37;27;271.077;60;stability;stability;3;3
White pieces win;37;27;429.336;60;stability;mobility;3;3
White pieces win;39;25;622.362;60;mobility;mobility;3;3
White pieces win;41;23;6146.519;60;mobility;corners;3;3
;;;;;;;;
;;;61.86455725;;;;;
