Game result,Winner score,Loser score,Runtime,Rounds played,White player heuristic,Black player heuristic,Min-max depth,Alpha-beta-pruning
Black pieces win,18,46,84.339,0,corners,mobility,3,1,False
Black pieces win,20,44,31.827,0,coin_parity,stability,3,1,False
Black pieces win,27,37,33.984,0,coin_parity,corners,3,1,False
White pieces win,36,28,76.498,0,coin_parity,coin_parity,3,1,False
Black pieces win,23,41,32.125,0,coin_parity,mobility,3,1,False
Black pieces win,25,39,79.674,0,mobility,stability,3,1,False
White pieces win,48,16,228.748,0,mobility,corners,3,1,False
White pieces win,45,19,130.037,0,mobility,coin_parity,3,1,False
White pieces win,39,25,221.944,0,mobility,mobility,3,1,False
White pieces win,44,20,222.965,0,stability,stability,3,2,False
Black pieces win,22,42,64.2,0,stability,corners,3,2,False
White pieces win,38,26,76.729,0,stability,coin_parity,3,2,False
Black pieces win,25,39,120.554,0,stability,mobility,3,2,False
Black pieces win,21,43,80.846,0,corners,stability,3,2,False
Black pieces win,18,46,72.8,0,corners,corners,3,2,False
Black pieces win,21,43,63.732,0,corners,coin_parity,3,2,False
Black pieces win,18,46,96.741,0,corners,mobility,3,2,False
Black pieces win,31,33,32.807,0,coin_parity,stability,3,2,False
Black pieces win,30,34,56.979,0,coin_parity,corners,3,2,False
Black pieces win,19,45,31.242,0,coin_parity,coin_parity,3,2,False
Black pieces win,23,41,39.78,0,coin_parity,mobility,3,2,False
Black pieces win,22,42,141.077,0,mobility,stability,3,2,False
Black pieces win,24,40,58.537,0,mobility,corners,3,2,False
Black pieces win,27,37,100.32,0,mobility,coin_parity,3,2,False
White pieces win,39,25,251.989,0,mobility,mobility,3,2,False
Black pieces win,20,44,237.23,0,stability,stability,3,3,False
White pieces win,33,31,225.389,0,stability,corners,3,3,False
Black pieces win,28,36,81.567,0,stability,coin_parity,3,3,False
Black pieces win,25,39,231.849,0,stability,mobility,3,3,False
Black pieces win,17,47,314.948,0,corners,stability,3,3,False
White pieces win,38,26,192.14,0,corners,corners,3,3,False
White pieces win,39,25,118.19,0,corners,coin_parity,3,3,False
Black pieces win,18,46,340.328,0,corners,mobility,3,3,False
Black pieces win,27,37,194.413,0,coin_parity,stability,3,3,False
White pieces win,57,7,110.406,0,coin_parity,corners,3,3,False
Black pieces win,27,37,182.796,0,coin_parity,coin_parity,3,3,False
Black pieces win,23,41,112.785,0,coin_parity,mobility,3,3,False
White pieces win,42,22,290.12,0,mobility,stability,3,3,False
White pieces win,52,12,246.229,0,mobility,corners,3,3,False
White pieces win,36,28,361.683,0,mobility,coin_parity,3,3,False
White pieces win,39,25,1430.74,0,mobility,mobility,3,3,False
