A* - TIME,3.930493,Sliwowa,--->,Kamien - skrzy.,16:22:00
A* - TIME,0.0,Orzechowa,--->,PL. GRUNWALDZKI,1:28:00
A* - TIME,3.476155,Ksieginice - skrzyz. Warzyna,--->,Dlugoleka - Kosciol,5:15:00
A* - TIME,0.670729,Szczodre - Szkola,--->,Wapienna,4:28:00
A* - TIME,0.114573,Kowalska,--->,Katedra,9:47:00
A* - TIME,1.171775,Kielczow - Biedronka,--->,Ceglana,14:31:00
A* - TIME,3.965441,Dlugoleka - Parkowa/skrzy.,--->,Krepicka,14:22:00
A* - TIME,0.0,Opatowicka nr 59,--->,Brochowska,0:43:00
A* - TIME,3.396265,Poczta Glowna,--->,Lozina - Wroclawska (na wys. nr 18),15:26:00
A* - TIME,0.496228,Rakow - osiedle,--->,Dmowskiego,6:09:00
A* - TIME,1.436352,pl. Orlat Lwowskich,--->,Baltycka (szkola),7:35:00
A* - TIME,0.0,Volvo - brama II,--->,Soltysowicka,20:37:00
A* - TIME,0.0,Dobroszycka,--->,Wilczyce - szkola,23:57:00
A* - TIME,1.777552,Szymanow (Letnia),--->,Mirkow - skrzy. Polna,21:10:00
A* - TIME,0.130608,Na Szancach,--->,Rozanka,9:24:00
A* - TIME,0.958588,Kielczow - Ladna,--->,Chinska,8:56:00
A* - TIME,1.719888,Bielany Wroclawskie - PKP,--->,Trestno - kosciol,21:15:00
A* - TIME,0.0,Dlugoleka - Nowy Urzad,--->,TARCZYNSKI ARENA (Krolewiecka),23:56:00
A* - TIME,2.523311,Krzemieniecka,--->,KLOKOCZYCE,7:48:00
A* - TIME,4.830884,Miloszycka,--->,SZYMANOW-petla,13:14:00
A* - TIME,0.628864,Bardzka,--->,Drzewieckiego,18:32:00
A* - TIME,3.11069,Na Grobli (Hydropolis),--->,Ferma - stadnina koni,17:13:00
