Stop,Runtime,Line,Departure time,Arrival time
Modra,>,32,18:35:00,18:36:00

A* - TIME,0.010021
From: ,DH Astra,To: ,Tarczynski Arena (Lotnicza)
DH Astra,>,,,11:59:00
Park Zachodni,>,20,12:00:00,12:01:00
Bajana,>,20,12:01:00,12:02:00
Metalowcow,>,20,12:02:00,12:03:00
PILCZYCE,>,20,12:03:00,12:05:00
Tarczynski Arena (Lotnicza),>,20,12:05:00,12:06:00

A* - TIME,0.166932
From: ,Dlugoleka - Kasztanowa,To: ,Kielczow - petla/Wroclawska
Dlugoleka - Kasztanowa,>,,,20:47:00
Dlugoleka - Wiejska,>,914,21:06:00,21:07:00
Mirkow - Jagiellonska,>,914,21:07:00,21:09:00
Mirkow - Sportowa,>,914,21:09:00,21:11:00
BIERUTOWSKA (Wiadukt),>,914,21:11:00,21:13:00
Bierutowska 75,>,914,21:13:00,21:14:00
Bierutowska,>,914,21:14:00,21:15:00
Bierutowska 65,>,914,21:15:00,21:15:00
Dobroszycka,>,914,21:15:00,21:16:00
PSIE POLE (Stacja kolejowa),>,914,21:16:00,21:17:00
Psie Pole (Rondo Lotnikow Polskich),>,914,21:17:00,21:18:00
KIELCZOWSKA (LZN),>,931,21:19:00,21:21:00
Poleska,>,931,21:21:00,21:22:00
Kielczowska,>,931,21:22:00,21:23:00
Zmudzka,>,931,21:23:00,21:24:00
Kielczowska (Cmentarz),>,931,21:24:00,21:25:00
Kielczow - Sosnowa,>,931,21:25:00,21:26:00
Kielczow - Biedronka,>,931,21:26:00,21:27:00
Kielczow - Wroclawska,>,931,21:27:00,21:28:00
Kielczow - petla (Plac Jana Gdaka),>,931,21:28:00,21:29:00
Kielczow - WODROL,>,911,21:40:00,21:41:00
Kielczow - osiedle,>,911,21:41:00,21:42:00
Kielczow - cmentarz,>,921,21:44:00,21:45:00
Kielczow - petla/Wroclawska,>,921,21:45:00,21:46:00

A* - TIME,0.309139
From: ,Szczodre - Trzebnicka (na wys. nr 3a),To: ,Dubois
Szczodre - Trzebnicka (na wys. nr 3a),>,,,06:39:00
Szczodre - Trzebnicka,>,904,07:11:00,07:12:00
Dlugoleka - Parkowa skrzy. Konopnicka,>,914,07:17:00,07:18:00
Dlugoleka - Parkowa/skrzy.,>,914,07:18:00,07:19:00
Dlugoleka - Kasztanowa,>,914,07:19:00,07:21:00
Dlugoleka - Wiejska,>,914,07:21:00,07:23:00
Mirkow - Jagiellonska,>,914,07:23:00,07:26:00
Mirkow - Sportowa,>,914,07:26:00,07:28:00
BIERUTOWSKA (Wiadukt),>,914,07:28:00,07:31:00
Bierutowska 75,>,914,07:31:00,07:32:00
Bierutowska,>,914,07:32:00,07:33:00
Bierutowska 65,>,914,07:33:00,07:33:00
Dobroszycka,>,914,07:33:00,07:34:00
PSIE POLE (Stacja kolejowa),>,914,07:34:00,07:35:00
Psie Pole (Rondo Lotnikow Polskich),>,914,07:35:00,07:36:00
Psie Pole,>,914,07:36:00,07:37:00
C.H. Korona,>,914,07:37:00,07:41:00
Brucknera,>,914,07:41:00,07:43:00
Grudziadzka,>,914,07:43:00,07:44:00
KROMERA,>,914,07:44:00,07:48:00
Wyszynskiego,>,914,07:48:00,07:51:00
Nowowiejska,>,1,07:52:00,07:54:00
Jednosci Narodowej,>,8,07:56:00,07:57:00
Na Szancach,>,8,07:57:00,07:58:00
pl. Bema,>,8,07:58:00,08:00:00
Dubois,>,6,08:02:00,08:04:00

A* - TIME,0.108786
From: ,ROD Oswiata,To: ,GIELDOWA (Centrum Hurtu)
ROD Oswiata,>,,,15:29:00
FAT,>,143,15:30:00,15:34:00
Wiejska,>,607,15:36:00,15:41:00
Adamieckiego,>,107,15:44:00,15:46:00
Morelowskiego,>,107,15:46:00,15:47:00
GIELDOWA (Centrum Hurtu),>,107,15:47:00,15:48:00

A* - TIME,2.736991
From: ,Wolska,To: ,Brzezina - Zacisze
Wolska,>,,,18:06:00
LESNICA,>,123,18:07:00,18:08:00
