Stop,Runtime,Line,Departure time,Arrival time
Na Ostatnim Groszu,>,136,06:02:00,06:04:00
Orlinskiego,>,136,06:04:00,06:05:00
Drzewieckiego,>,136,06:05:00,06:06:00
Hynka,>,136,06:06:00,06:07:00
Bystrzycka,>,136,06:07:00,06:09:00
Bulwar Dedala,>,136,06:09:00,06:10:00
Szybowcowa,>,136,06:10:00,06:11:00
Metalowcow,>,136,06:11:00,06:15:00
Rekodzielnicza,>,136,06:15:00,06:16:00
Gornicza,>,136,06:16:00,06:18:00
KOZANOW (Dokerska),>,136,06:18:00,06:19:00
Kozanowska,>,32,06:21:00,06:22:00

A* - TIME,1.051844
From: ,Kepinska,To: ,Kopanskiego
Kepinska,>,,,17:26:00
Kamienskiego,>,74,17:27:00,17:28:00
Broniewskiego,>,74,17:28:00,17:30:00
Pola,>,132,17:36:00,17:37:00
Syrokomli,>,132,17:37:00,17:38:00
Kasprowicza,>,132,17:38:00,17:39:00
pl. Danilowskiego,>,132,17:39:00,17:41:00
Berenta,>,132,17:41:00,17:42:00
KROMERA,>,118,17:44:00,17:47:00
Kwidzynska,>,118,17:47:00,17:51:00
Brucknera,>,118,17:51:00,17:53:00
C.H. Korona,>,121,17:55:00,17:57:00
Zielna,>,121,17:57:00,17:59:00
Psie Pole,>,121,17:59:00,18:00:00
Psie Pole (Rondo Lotnikow Polskich),>,121,18:00:00,18:02:00
Kopanskiego,>,D,18:06:00,18:08:00

A* - TIME,3.304695
From: ,Pisarzowice - Kolejowa,To: ,Siedlec - skrzy. Osiedlowa
Pisarzowice - Kolejowa,>,,,07:51:00
Pisarzowice - Szkolna,>,923,08:12:00,08:13:00
Pisarzowice - Odrzanska,>,923,08:13:00,08:14:00
Pisarzowice - Graniczna,>,923,08:14:00,08:16:00
Wilkszyn (petla),>,923,08:16:00,08:18:00
Wilkszyn - Polna,>,923,08:18:00,08:19:00
Wilkszyn - Miloszyn,>,923,08:19:00,08:20:00
Krzelowska,>,923,08:20:00,08:21:00
Lososiowicka,>,923,08:21:00,08:22:00
Wilkszynska,>,923,08:22:00,08:23:00
Marszowice,>,923,08:23:00,08:24:00
Glowna,>,923,08:24:00,08:26:00
Park Stablowicki,>,923,08:26:00,08:27:00
Stablowice,>,923,08:27:00,08:28:00
Ciechocinska,>,923,08:28:00,08:29:00
Sniezna,>,923,08:29:00,08:30:00
Jeleniogorska,>,923,08:30:00,08:31:00
Wschowska,>,10,08:32:00,08:33:00
Zlotnicka,>,10,08:33:00,08:34:00
Kamiennogorska (Osrodek dla niewidomych),>,10,08:34:00,08:35:00
Kosmonautow (Szpital),>,10,08:35:00,08:36:00
Grabowa,>,10,08:36:00,08:38:00
Aleja Architektow,>,10,08:38:00,08:39:00
Glinianki,>,10,08:39:00,08:40:00
Tarczynski Arena (Lotnicza),>,10,08:40:00,08:41:00
PILCZYCE,>,10,08:41:00,08:43:00
Metalowcow,>,10,08:43:00,08:44:00
Bajana,>,10,08:44:00,08:46:00
Park Zachodni,>,10,08:46:00,08:47:00
DH Astra,>,10,08:47:00,08:48:00
Kwiska,>,10,08:48:00,08:50:00
Malopanewska,>,10,08:50:00,08:51:00
Niedzwiedzia,>,10,08:51:00,08:53:00
ZACHODNIA (Stacja kolejowa),>,10,08:53:00,08:56:00
pl. Strzegomski (Muzeum Wspolczesne),>,10,08:56:00,08:58:00
Mlodych Technikow,>,10,08:58:00,08:59:00
PL. JANA PAWLA II,>,10,08:59:00,09:01:00
Rynek,>,10,09:01:00,09:03:00
Zamkowa,>,10,09:03:00,09:04:00
Swidnicka,>,10,09:04:00,09:06:00
GALERIA DOMINIKANSKA,>,10,09:06:00,09:09:00
Urzad Wojewodzki (Muzeum Narodowe),>,10,09:09:00,09:12:00
Katedra,>,10,09:12:00,09:13:00
Ogrod Botaniczny,>,111,09:15:00,09:17:00
Wyszynskiego,>,128,09:18:00,09:20:00
Damrota,>,128,09:20:00,09:21:00
KROMERA,>,128,09:21:00,09:24:00
Kromera (Czajkowskiego),>,128,09:24:00,09:26:00
Grudziadzka,>,128,09:26:00,09:27:00
Brucknera,>,128,09:27:00,09:29:00
C.H. Korona,>,128,09:29:00,09:31:00
Zielna,>,128,09:31:00,09:33:00
Psie Pole,>,128,09:33:00,09:34:00
Psie Pole (Rondo Lotnikow Polskich),>,128,09:34:00,09:35:00
Zakrzowska,>,128,09:35:00,09:36:00
Kopanskiego,>,128,09:36:00,09:37:00
Wallenroda,>,128,09:37:00,09:38:00
Przedwiosnie (Stacja kolejowa),>,128,09:38:00,09:39:00
Azaliowa,>,151,09:46:00,09:48:00
Pawlowice,>,151,09:48:00,09:49:00
Starodebowa,>,151,09:49:00,09:50:00
Pawlowicka,>,151,09:50:00,09:51:00
Przebisniegowa,>,151,09:51:00,09:52:00
Ramiszow,>,936,10:01:00,10:05:00
Pasikurowice - cmentarz,>,936,10:05:00,10:08:00
Pasikurowice - skrzy. Malinowa,>,936,10:08:00,10:10:00
Pasikurowice - Energetyczna,>,936,10:10:00,10:11:00
Pasikurowice - n/z,>,936,10:11:00,10:12:00
Bukowina,>,936,10:12:00,10:14:00
Bukowina - skrzy.,>,936,10:14:00,10:16:00
Bakow,>,936,10:16:00,10:17:00
Lozina - Wroclawska (na wys. nr 18),>,936,10:17:00,10:20:00
Lozina - Nowego Osiedla I,>,936,10:20:00,10:22:00
Lozina - Nowego Osiedla II,>,936,10:22:00,10:23:00
Tokary - centrum,>,936,10:23:00,10:26:00
Tokary - osiedle,>,936,10:26:00,10:27:00
Siedlec - skrzy. Osiedlowa,>,936,10:27:00,10:29:00

A* - TIME,2.554664
From: ,Wyscigowa,To: ,Goslawice - przejazd PKP
Wyscigowa,>,,,20:30:00
Skierniewicka,>,144,20:35:00,20:37:00
Jarzebinowa,>,144,20:37:00,20:38:00
Sudecka,>,144,20:38:00,20:40:00
Hallera,>,144,20:40:00,20:42:00
Sztabowa,>,6,20:44:00,20:45:00
Rondo,>,6,20:45:00,20:46:00
Wielka,>,6,20:46:00,20:47:00
Zaolzianska,>,6,20:47:00,20:48:00
Arkady (Capitol),>,6,20:48:00,20:51:00
GALERIA DOMINIKANSKA,>,D,20:54:00,20:59:00
Urzad Wojewodzki (Impart),>,D,20:59:00,21:01:00
most Grunwaldzki,>,D,21:01:00,21:02:00
PL. GRUNWALDZKI,>,D,21:02:00,21:04:00
Kochanowskiego,>,D,21:04:00,21:07:00
Sniadeckich,>,D,21:07:00,21:08:00
Zacisze,>,D,21:08:00,21:09:00
Kwidzynska,>,D,21:09:00,21:11:00
Brucknera,>,D,21:11:00,21:12:00
Psie Pole,>,D,21:12:00,21:16:00
Psie Pole (Rondo Lotnikow Polskich),>,D,21:16:00,21:17:00
PSIE POLE (Stacja kolejowa),>,914,21:40:00,21:41:00
Dobroszycka,>,914,21:41:00,21:42:00
Bierutowska 65,>,914,21:42:00,21:42:00
Bierutowska,>,914,21:42:00,21:43:00
Bierutowska 75,>,914,21:43:00,21:43:00
BIERUTOWSKA (Wiadukt),>,914,21:43:00,21:44:00
Mirkow - Sportowa,>,914,21:44:00,21:45:00
Mirkow - Jagiellonska,>,914,21:45:00,21:47:00
Dlugoleka - Wiejska,>,914,21:47:00,21:49:00
Dlugoleka - Kasztanowa,>,914,21:49:00,21:50:00
Dlugoleka - Parkowa/skrzy.,>,904,23:16:00,23:17:00
Szczodre - Trzebnicka (na wys. nr 3a),>,904,23:17:00,23:18:00
Szczodre - Trzebnicka,>,904,23:18:00,23:19:00
Szczodre - petla,>,904,23:19:00,23:20:00
Szczodre - Szkola,>,904,23:20:00,23:21:00
Szczodre - stawy,>,904,23:21:00,23:23:00
Losice,>,904,23:23:00,23:25:00
Dabrowica,>,904,23:25:00,23:27:00
Dobroszow - skrzy. Wegierska,>,904,23:27:00,23:29:00
Dobroszow Olesnicki,>,904,23:29:00,23:30:00
Januszkowice - Wroclawska,>,904,23:30:00,23:32:00
Januszkowice - Wierzbowa,>,904,23:32:00,23:33:00
Januszkowice - skrzy. Kepa,>,904,23:33:00,23:34:00
Michalowice Skrzyzowanie,>,904,23:34:00,23:36:00
Kepa,>,904,23:36:00,23:38:00
Kepa (na wys. nr 36),>,904,23:38:00,23:39:00
Kepa - skrzy.,>,904,23:39:00,23:40:00
Bierzyce,>,904,23:40:00,23:41:00
Lozina - Milicka/szkola,>,904,23:41:00,23:41:00
Lozina - Milicka/poczta,>,904,23:41:00,23:42:00
Lozina - skrzy.,>,904,23:42:00,23:44:00

A* - TIME,1.015608
From: ,Gorlicka,To: ,Ksieska
Gorlicka,>,,,18:11:00
MULICKA,>,121,18:18:00,18:19:00
Psie Pole (Rondo Lotnikow Polskich),>,121,18:19:00,18:20:00
Psie Pole,>,121,18:20:00,18:21:00
Brucknera,>,N,18:24:00,18:28:00
Kwidzynska,>,151,18:30:00,18:32:00
Zacisze,>,151,18:32:00,18:33:00
Sniadeckich,>,151,18:33:00,18:34:00
Kochanowskiego,>,151,18:34:00,18:36:00
Bujwida,>,151,18:36:00,18:38:00
PL. GRUNWALDZKI,>,151,18:38:00,18:40:00
most Grunwaldzki,>,16,18:43:00,18:44:00
Urzad Wojewodzki (Impart),>,16,18:44:00,18:46:00
pl. Wroblewskiego,>,16,18:46:00,18:49:00
Komuny Paryskiej,>,16,18:49:00,18:50:00
Kosciuszki,>,16,18:50:00,18:51:00
Swistackiego,>,114,18:52:00,18:53:00
Na Niskich Lakach,>,114,18:53:00,18:55:00
Krakowska,>,3,18:56:00,18:57:00
KRAKOWSKA (Centrum handlowe),>,3,18:57:00,18:59:00
Armii Krajowej,>,3,18:59:00,19:00:00
Park Wschodni,>,3,19:00:00,19:01:00
Karwinska,>,3,19:01:00,19:03:00
KSIEZE MALE,>,124,19:04:00,19:05:00
Ksieska,>,100,19:07:00,19:08:00

A* - TIME,0.718011
From: ,GRABISZYNSKA (Cmentarz II),To: ,Wislanska
GRABISZYNSKA (Cmentarz II),>,,,16:55:00
GRABISZYNSKA (Cmentarz),>,20,16:55:00,16:56:00
Fiolkowa,>,20,16:56:00,16:57:00
FAT,>,20,16:57:00,16:59:00
Hutmen,>,74,17:00:00,17:01:00
Bzowa (Centrum Zajezdnia),>,74,17:01:00,17:02:00
pl. Srebrny,>,74,17:02:00,17:03:00
Stalowa,>,74,17:03:00,17:04:00
Pereca,>,74,17:04:00,17:06:00
Grabiszynska,>,74,17:06:00,17:07:00
Kolejowa,>,74,17:07:00,17:08:00
pl. Legionow,>,74,17:08:00,17:10:00
pl. Orlat Lwowskich,>,74,17:10:00,17:12:00
PL. JANA PAWLA II,>,74,17:12:00,17:14:00
Dmowskiego,>,74,17:14:00,17:16:00
Poznanska,>,C ,17:19:00,17:22:00
DLUGA (Politechnika),>,C ,17:22:00,17:23:00
Rysia,>,C ,17:23:00,17:25:00
Wejherowska,>,C ,17:25:00,17:26:00
Kolista,>,C ,17:26:00,17:29:00
Wislanska,>,C ,17:29:00,17:31:00

A* - TIME,0.793701
From: ,ZACHODNIA (Stacja kolejowa),To: ,Kasprowicza
ZACHODNIA (Stacja kolejowa),>,,,21:39:00
pl. Strzegomski (Muzeum Wspolczesne),>,3,21:39:00,21:41:00
Mlodych Technikow,>,3,21:41:00,21:42:00
PL. JANA PAWLA II,>,3,21:42:00,21:44:00
Dmowskiego,>,15,21:53:00,21:55:00
Pomorska,>,15,21:55:00,21:57:00
Dubois,>,15,21:57:00,22:00:00
Paulinska,>,15,22:00:00,22:02:00
DWORZEC NADODRZE,>,15,22:02:00,22:04:00
Trzebnicka,>,15,22:04:00,22:06:00
Broniewskiego,>,1,22:08:00,22:10:00
Pola,>,D,22:12:00,22:13:00
Syrokomli,>,D,22:13:00,22:14:00
Kasprowicza,>,119,22:15:00,22:16:00

A* - TIME,0.20186
From: ,Marcepanowa,To: ,Trawowa
Marcepanowa,>,,,12:29:00
WALBRZYSKA,>,933,12:36:00,12:37:00
Koscielna,>,933,12:37:00,12:38:00
KLECINA,>,933,12:38:00,12:39:00
Skarbowcow,>,933,12:39:00,12:40:00
Os. Przyjazni,>,933,12:40:00,12:41:00
Zimowa,>,933,12:41:00,12:42:00
KRZYKI,>,933,12:42:00,12:44:00
Orla,>,6,12:45:00,12:47:00
Jastrzebia,>,6,12:47:00,12:48:00
Hallera,>,6,12:48:00,12:49:00
Gajowicka,>,136,12:50:00,12:52:00
Mielecka,>,136,12:52:00,12:53:00
Ojca Beyzyma,>,136,12:53:00,12:55:00
Aleja Pracy,>,20,12:56:00,12:57:00
FAT,>,20,12:57:00,12:59:00
Ostrowskiego,>,119,13:03:00,13:04:00
Koncowa,>,119,13:04:00,13:06:00
Krzemieniecka,>,119,13:06:00,13:07:00
Trawowa,>,119,13:07:00,13:08:00

A* - TIME,1.586755
From: ,Trawowa,To: ,RATYN
Trawowa,>,,,15:13:00
Stanislawowska (W.K. Formaty),>,119,15:18:00,15:20:00
Muchobor Wielki,>,119,15:20:00,15:21:00
Muchobor Wielki (Roslinna),>,119,15:21:00,15:22:00
Tyrmanda,>,119,15:22:00,15:23:00
MINSKA (Rondo Rotm. Pileckiego),>,119,15:23:00,15:25:00
Rogowska,>,119,15:25:00,15:27:00
Nowy Dwor,>,119,15:27:00,15:29:00
Chociebuska,>,122,15:33:00,15:35:00
Hermanowska,>,122,15:35:00,15:37:00
KUZNIKI,>,122,15:37:00,15:38:00
Kolobrzeska,>,149,15:39:00,15:40:00
Szczecinska,>,148,15:41:00,15:43:00
Zerniki,>,148,15:43:00,15:45:00
Strachowicka,>,148,15:45:00,15:46:00
Zernicka,>,909,15:47:00,15:48:00
Jerzmanowska nr 9,>,909,15:48:00,15:49:00
Jerzmanowska nr 17,>,909,15:49:00,15:50:00
Jerzmanowo (Cmentarz I),>,909,15:50:00,15:53:00
Piolunowa,>,909,15:53:00,15:54:00
Jasinskiej,>,909,15:54:00,15:55:00
Adamczewskich,>,909,15:55:00,15:56:00
Kosnego,>,909,15:56:00,15:57:00
Rodla,>,117,16:02:00,16:03:00
RATYN,>,117,16:03:00,16:05:00

A* - TIME,0.695092
From: ,Kolumba,To: ,Bielawa
Kolumba,>,,,22:43:00
Monopolowa,>,115,22:45:00,22:46:00
SEPOLNO,>,115,22:46:00,22:47:00
Godebskiego (AWF Wroclaw),>,115,22:47:00,22:48:00
8 Maja,>,115,22:48:00,22:49:00
Stadion Olimpijski,>,9,22:54:00,22:55:00
Karlowicza,>,9,22:55:00,22:56:00
Chopina,>,9,22:56:00,22:57:00
Kochanowskiego,>,9,22:57:00,22:59:00
Sniadeckich,>,116,23:03:00,23:04:00
Zacisze,>,116,23:04:00,23:05:00
Kwidzynska,>,116,23:05:00,23:07:00
KROMERA,>,116,23:07:00,23:09:00
Berenta,>,116,23:09:00,23:10:00
Kasprowicza,>,116,23:10:00,23:11:00
Syrokomli,>,119,23:12:00,23:13:00
Pola,>,119,23:13:00,23:14:00
Broniewskiego,>,119,23:14:00,23:15:00
Baltycka,>,119,23:15:00,23:17:00
Bezpieczna,>,119,23:17:00,23:18:00
Paprotna,>,119,23:18:00,23:19:00
Irysowa,>,111,23:23:00,23:24:00
Obornicka (Obwodnica),>,111,23:24:00,23:25:00
Ostowa (Muzeum Militarne),>,111,23:25:00,23:26:00
Cwiczebna,>,143,23:28:00,23:29:00

A* - TIME,0.000621
From: ,Budziwojowice,To: ,Pietrzykowice - zaklad
Budziwojowice,>,,,02:40:00

A* - TIME,0.046841
From: ,Jerzmanowska nr 9,To: ,Wilkszyn - Polna
Jerzmanowska nr 9,>,,,23:29:00
Zernicka,>,909,23:29:00,23:30:00
Strachowicka,>,909,23:30:00,23:31:00
Zerniki,>,909,23:31:00,23:32:00
Szczecinska,>,909,23:32:00,23:33:00
Kolobrzeska,>,909,23:33:00,23:35:00
Nowy Dwor (Stacja kolejowa),>,909,23:35:00,23:37:00
Nowy Dwor,>,909,23:37:00,23:42:00
Chociebuska,>,122,23:44:00,23:45:00
Hermanowska,>,122,23:45:00,23:46:00
KUZNIKI,>,122,23:46:00,23:47:00
KUZNIKI (Stacja kolejowa),>,122,23:47:00,23:48:00
Bystrzycka,>,122,23:48:00,23:49:00
Hynka,>,122,23:49:00,23:50:00
Drzewieckiego,>,122,23:50:00,23:51:00
Orlinskiego,>,122,23:51:00,23:52:00
Na Ostatnim Groszu,>,122,23:52:00,23:53:00
Kwiska,>,122,23:53:00,23:55:00
Wejherowska,>,122,23:55:00,23:56:00
Hala Orbita,>,122,23:56:00,23:58:00
most Milenijny,>,122,23:58:00,23:59:00

A* - TIME,1.192969
From: ,Muchobor Wielki,To: ,JARNOLTOW
Muchobor Wielki,>,,,21:36:00
Muchobor Wielki (Roslinna),>,119,21:40:00,21:41:00
Tyrmanda,>,119,21:41:00,21:42:00
MINSKA (Rondo Rotm. Pileckiego),>,119,21:42:00,21:43:00
Rogowska,>,119,21:43:00,21:45:00
Nowy Dwor,>,119,21:45:00,21:47:00
Chociebuska,>,126,21:48:00,21:50:00
Hermanowska,>,126,21:50:00,21:52:00
KUZNIKI,>,126,21:52:00,21:53:00
Kolobrzeska,>,129,21:54:00,21:55:00
Szczecinska,>,129,21:55:00,21:57:00
Zerniki,>,129,21:57:00,21:58:00
Strachowicka,>,129,21:58:00,21:59:00
Zernicka,>,129,21:59:00,22:00:00
Jerzmanowska nr 9,>,129,22:00:00,22:01:00
Jerzmanowska nr 17,>,129,22:01:00,22:02:00
Jerzmanowo (Cmentarz I),>,129,22:02:00,22:05:00
Piolunowa,>,129,22:05:00,22:06:00
Jasinskiej,>,109,22:36:00,22:37:00
Adamczewskich,>,109,22:37:00,22:38:00
Kosnego,>,109,22:38:00,22:39:00
Krzeptowska,>,109,22:39:00,22:40:00
Jarnoltowska (Samotworska),>,109,22:40:00,22:41:00
JARNOLTOW,>,109,22:41:00,22:43:00

A* - TIME,2.811798
From: ,KOZANOW (Dokerska),To: ,Kielczowek
KOZANOW (Dokerska),>,,,17:46:00
Kozanowska,>,32,17:46:00,17:47:00
Modra,>,32,17:47:00,17:48:00
PILCZYCKA (Anima),>,32,17:48:00,17:49:00
Kolista,>,32,17:49:00,17:50:00
Kwiska,>,32,17:50:00,17:54:00
Malopanewska,>,32,17:54:00,17:55:00
Niedzwiedzia,>,32,17:55:00,17:57:00
ZACHODNIA (Stacja kolejowa),>,32,17:57:00,18:00:00
pl. Strzegomski (Muzeum Wspolczesne),>,32,18:00:00,18:02:00
Mlodych Technikow,>,32,18:02:00,18:03:00
PL. JANA PAWLA II,>,32,18:03:00,18:05:00
Rynek,>,33,18:06:00,18:08:00
Zamkowa,>,33,18:08:00,18:09:00
Swidnicka,>,33,18:09:00,18:11:00
GALERIA DOMINIKANSKA,>,33,18:11:00,18:14:00
Urzad Wojewodzki (Impart),>,33,18:14:00,18:17:00
most Grunwaldzki,>,33,18:17:00,18:18:00
PL. GRUNWALDZKI,>,33,18:18:00,18:20:00
Bujwida,>,33,18:20:00,18:22:00
Kochanowskiego,>,33,18:22:00,18:24:00
Sniadeckich,>,111,18:25:00,18:26:00
Zacisze,>,111,18:26:00,18:27:00
Kwidzynska,>,111,18:27:00,18:29:00
Brucknera,>,111,18:29:00,18:31:00
C.H. Korona,>,111,18:31:00,18:33:00
Zielna,>,111,18:33:00,18:35:00
Psie Pole,>,111,18:35:00,18:36:00
Psie Pole (Rondo Lotnikow Polskich),>,111,18:36:00,18:38:00
KIELCZOWSKA (LZN),>,131,18:41:00,18:43:00
Poleska,>,131,18:43:00,18:44:00
Kielczowska,>,131,18:44:00,18:45:00
Zmudzka,>,131,18:45:00,18:46:00
Kielczowska (Cmentarz),>,121,18:50:00,18:51:00
Kielczow - Sosnowa,>,931,18:55:00,18:56:00
Kielczow - Biedronka,>,931,18:56:00,18:57:00
Kielczow - Wroclawska,>,931,18:57:00,18:58:00
Kielczow - petla/Wroclawska,>,931,18:58:00,18:59:00
Kielczow - Zgodna,>,931,18:59:00,19:00:00
Piecowice,>,931,19:00:00,19:04:00
Kielczow - Boczna,>,911,19:10:00,19:14:00
Kielczow - petla (Plac Jana Gdaka),>,911,19:14:00,19:16:00
Kielczow - WODROL,>,911,19:16:00,19:18:00
Kielczow - Rzeczna,>,931,19:31:00,19:32:00
Kielczowek - Sielska Zagroda,>,931,19:32:00,19:33:00
Kielczowek,>,931,19:33:00,19:34:00

A* - TIME,6.456102
From: ,Kielczow - petla/Wroclawska,To: ,Szymanow
Kielczow - petla/Wroclawska,>,,,12:19:00
Kielczow - Zgodna,>,921,12:42:00,12:43:00
Piecowice,>,941,12:47:00,12:51:00
Kamien - skrzy. Rubinowa,>,941,12:51:00,12:55:00
Kamien - skrzy. Diamentowa,>,941,12:55:00,12:55:00
Kamien - skrzy.,>,941,12:55:00,12:56:00
Kamien - Bursztynowa,>,941,12:56:00,12:57:00
Dlugoleka - Nowy Urzad,>,941,12:57:00,12:59:00
Dlugoleka - Kosciol,>,941,12:59:00,13:00:00
Dlugoleka - Broniewskiego (na wys. nr 11),>,941,13:00:00,13:01:00
Dlugoleka - Kasztanowa,>,924,13:03:00,13:06:00
Dlugoleka - Wiejska,>,924,13:06:00,13:08:00
Mirkow - Jagiellonska,>,924,13:08:00,13:11:00
Mirkow - Sportowa,>,924,13:11:00,13:13:00
BIERUTOWSKA (Wiadukt),>,924,13:13:00,13:16:00
Bierutowska 75,>,924,13:16:00,13:17:00
Bierutowska,>,924,13:17:00,13:18:00
Bierutowska 65,>,924,13:18:00,13:18:00
Dobroszycka,>,924,13:18:00,13:19:00
PSIE POLE (Stacja kolejowa),>,924,13:19:00,13:20:00
Psie Pole (Rondo Lotnikow Polskich),>,924,13:20:00,13:21:00
Psie Pole,>,924,13:21:00,13:22:00
C.H. Korona,>,924,13:22:00,13:26:00
Brucknera,>,924,13:26:00,13:28:00
Grudziadzka,>,924,13:28:00,13:29:00
KROMERA,>,924,13:29:00,13:32:00
Wyszynskiego,>,924,13:32:00,13:35:00
Nowowiejska,>,70,13:37:00,13:39:00
Slowianska,>,70,13:39:00,13:41:00
DWORZEC NADODRZE,>,70,13:41:00,13:43:00
Kleczkowska,>,714,13:45:00,13:47:00
most Osobowicki,>,714,13:47:00,13:49:00
Serbska (C.K. Agora),>,714,13:49:00,13:50:00
OSOBOWICKA (Cmentarz II),>,714,13:50:00,13:51:00
OSOBOWICKA (Cmentarz),>,714,13:51:00,13:52:00
most Milenijny,>,129,13:55:00,13:57:00
Hala Orbita,>,129,13:57:00,13:58:00
Wejherowska,>,129,13:58:00,14:01:00
Kwiska,>,129,14:01:00,14:03:00
DH Astra,>,33,14:05:00,14:07:00
Park Zachodni,>,33,14:07:00,14:08:00
Bajana,>,33,14:08:00,14:09:00
Metalowcow,>,33,14:09:00,14:10:00
PILCZYCE,>,33,14:10:00,14:12:00
Tarczynski Arena (Lotnicza),>,10,14:13:00,14:14:00
Glinianki,>,10,14:14:00,14:16:00
Aleja Architektow,>,10,14:16:00,14:17:00
Grabowa,>,10,14:17:00,14:18:00
Kosmonautow (Szpital),>,10,14:18:00,14:20:00
Kamiennogorska (Osrodek dla niewidomych),>,10,14:20:00,14:21:00
Zlotnicka,>,10,14:21:00,14:23:00
Wschowska,>,10,14:23:00,14:24:00
Jeleniogorska,>,10,14:24:00,14:25:00
LESNICA,>,10,14:25:00,14:26:00
Sredzka,>,101,14:38:00,14:39:00
Eluarda,>,938,14:44:00,14:46:00
Zajazdowa,>,938,14:46:00,14:47:00
Krepicka - szkola,>,938,14:47:00,14:48:00
Krepicka,>,938,14:48:00,14:49:00
Mokrzanska,>,938,14:49:00,14:50:00
ZAR,>,938,14:50:00,14:53:00
Krepice - Wroclawska,>,958,17:19:00,17:23:00
Zurawiniec,>,958,17:23:00,17:26:00
Mrozow - Swietlica,>,958,17:26:00,17:29:00
Mrozow - Wyzwolenia,>,958,17:29:00,17:31:00
Wojnowice - Glowna,>,940,18:18:00,18:21:00
Wilkostow,>,940,18:21:00,18:24:00
Czerna,>,940,18:24:00,18:27:00

A* - TIME,2.653901
From: ,Kielczow - petla (Plac Jana Gdaka),To: ,Rakow - osiedle
Kielczow - petla (Plac Jana Gdaka),>,,,18:43:00
Kielczow - WODROL,>,911,18:46:00,18:48:00
Kielczow - osiedle,>,911,18:48:00,18:49:00
Wilczyce - Sosnowa,>,911,18:49:00,18:50:00
Wilczyce - Debowa,>,911,18:50:00,18:51:00
Wilczyce - Dworska,>,911,18:51:00,18:52:00
Wilczyce - Borowa,>,911,18:52:00,18:53:00
Wilczyce - Wroclawska (na wys. nr 1F),>,911,18:53:00,18:54:00
Wilczyce,>,911,18:54:00,18:54:00
Mrozna,>,911,18:54:00,18:55:00
Kurlandzka,>,911,18:55:00,18:55:00
Zgorzelisko,>,911,18:55:00,18:56:00
Palacha,>,911,18:56:00,18:57:00
Szewczenki,>,911,18:57:00,18:58:00
Gorlicka,>,911,18:58:00,18:59:00
MULICKA,>,911,18:59:00,19:00:00
Psie Pole (Rondo Lotnikow Polskich),>,911,19:00:00,19:01:00
Psie Pole,>,911,19:01:00,19:02:00
Brucknera,>,D,19:03:00,19:07:00
Kwidzynska,>,D,19:07:00,19:09:00
Zacisze,>,D,19:09:00,19:10:00
Sniadeckich,>,D,19:10:00,19:11:00
Kochanowskiego,>,D,19:11:00,19:13:00
PL. GRUNWALDZKI,>,911,19:14:00,19:16:00
most Grunwaldzki,>,D,19:17:00,19:19:00
Poczta Glowna,>,D,19:19:00,19:21:00
GALERIA DOMINIKANSKA,>,D,19:21:00,19:24:00
Renoma,>,D,19:24:00,19:28:00
Arkady (Capitol),>,D,19:28:00,19:30:00
Rondo,>,D,19:30:00,19:34:00
Hallera,>,D,19:34:00,19:37:00
Sudecka,>,144,19:38:00,19:39:00
Jarzebinowa,>,144,19:39:00,19:40:00
Skierniewicka,>,144,19:40:00,19:41:00
Wyscigowa,>,144,19:41:00,19:44:00
PARK POLUDNIOWY,>,913,19:47:00,19:49:00
Hippiczna,>,612,20:05:00,20:06:00
Partynice (tor wyscigow konnych),>,612,20:06:00,20:09:00
Biskupice Podg. LG Electronics,>,602,21:50:00,22:07:00
Biskupice Podg. LG Energy Solution Wr. I,>,602,22:07:00,22:11:00
Biskupice Podg. LG Chem,>,607,22:40:00,22:41:00
Biskupice Podg. LG Innotek,>,607,22:41:00,22:42:00
Biskupice Podg. DSC Poland/Dong Yang,>,607,22:42:00,22:44:00

A* - TIME,1.94159
From: ,Zagrodnicza,To: ,Kosmonautow (Szpital)
Zagrodnicza,>,,,04:59:00
Niedzialkowskiego,>,115,05:03:00,05:04:00
Mikolowska,>,115,05:04:00,05:05:00
Swojczyce,>,115,05:05:00,05:06:00
Magellana,>,115,05:06:00,05:07:00
Kolumba,>,115,05:07:00,05:08:00
Monopolowa,>,115,05:08:00,05:09:00
SEPOLNO,>,115,05:09:00,05:10:00
Godebskiego (AWF Wroclaw),>,115,05:10:00,05:11:00
8 Maja,>,115,05:11:00,05:12:00
Park Szczytnicki,>,115,05:12:00,05:13:00
Mickiewicza,>,115,05:13:00,05:14:00
Kliniki - Politechnika Wroclawska,>,115,05:14:00,05:16:00
PL. GRUNWALDZKI,>,115,05:16:00,05:18:00
most Grunwaldzki,>,4,05:20:00,05:21:00
Urzad Wojewodzki (Impart),>,4,05:21:00,05:23:00
GALERIA DOMINIKANSKA,>,4,05:23:00,05:26:00
Swidnicka,>,4,05:26:00,05:28:00
Zamkowa,>,4,05:28:00,05:29:00
Rynek,>,3,05:31:00,05:33:00
PL. JANA PAWLA II,>,3,05:33:00,05:36:00
Mlodych Technikow,>,3,05:36:00,05:38:00
pl. Strzegomski (Muzeum Wspolczesne),>,3,05:38:00,05:39:00
ZACHODNIA (Stacja kolejowa),>,3,05:39:00,05:41:00
Niedzwiedzia,>,3,05:41:00,05:43:00
