A* - TRANSFERS;0.264322;Rakow - osiedle;--->;Dmowskiego;06:09:00
;;;;;
A* - TRANSFERS;0;Volvo - brama II;--->;Soltysowicka;20:37:00
A* - TRANSFERS;0.00105;Dobroszycka;--->;Wilczyce - szkola;23:57:00
A* - TRANSFERS;1.929484;Szymanow (Letnia);--->;Mirkow - skrzy. Polna;21:10:00
A* - TRANSFERS;0.20449;Na Szancach;--->;Rozanka;09:24:00
A* - TRANSFERS;1.00385;Kielczow - Ladna;--->;Chinska;08:56:00
A* - TRANSFERS;1.703088;Bielany Wroclawskie - PKP;--->;Trestno - kosciol;21:15:00
A* - TRANSFERS;0;Dlugoleka - Nowy Urzad;--->;TARCZYNSKI ARENA (Krolewiecka);23:56:00
;;;;;
A* - TRANSFERS;2.342021;Zarembowicza;--->;PAWLOWICE (Widawska);19:22:00
A* - TRANSFERS;5.752642;Miloszycka;--->;SZYMANOW-petla;13:14:00
A* - TRANSFERS;0.818084;Bardzka;--->;Drzewieckiego;18:32:00
A* - TRANSFERS;3.642353;Na Grobli (Hydropolis);--->;Ferma - stadnina koni;17:13:00
